transaction_id,card_id,bin,brand,card_type,home_country,merchant_id,mcc,merchant_country,amount,currency,card_present,timestamp,device_id,ip_country,ip_address,auth_result,is_fraud_pattern,fraud_scenario,chargeback,device_unique_cards,small_cnp_tx_count,risk_score,triggered_rules
tx_13,card_148,510000,Mastercard,credit,FR,m_154,4814,GB,297.39,USD,True,2025-11-21 17:06:17.680621,device_415,FR,51.221.202.254,approved,0,,0,2,0,0,
tx_14,card_1164,400000,Visa,credit,US,m_180,5411,CA,17.88,USD,True,2025-11-18 09:06:29.680621,device_1416,US,23.95.140.143,approved,0,,0,1,0,0,
tx_15,card_290,520000,Mastercard,debit,MX,m_45,4816,MX,171.26,USD,False,2025-11-20 06:11:27.680621,device_1218,MX,101.125.151.255,approved,0,,0,6,0,15,shared_device_many_cards
tx_16,card_325,510000,Mastercard,credit,CA,m_174,7995,US,102.28,USD,False,2025-11-16 22:55:13.680621,device_4512,CA,23.44.143.196,approved,0,,0,3,0,0,
tx_17,card_91,520000,Mastercard,debit,FR,m_74,5411,MX,35.51,USD,True,2025-10-27 07:40:45.680621,device_4308,FR,51.9.195.183,approved,0,,0,2,1,0,
tx_18,card_1185,520000,Mastercard,debit,AU,m_57,5999,MX,38.89,USD,False,2025-11-24 00:17:38.680621,device_2819,AU,101.164.198.138,approved,0,,0,3,0,0,
tx_19,card_838,370000,Amex,credit,FR,m_11,7995,US,933.4,USD,False,2025-10-25 09:54:36.680621,device_214,FR,51.143.29.241,approved,0,,0,3,0,25,high_amount_cnp
tx_20,card_341,510000,Mastercard,credit,GB,m_206,5999,BR,265.85,USD,False,2025-12-03 15:42:06.680621,device_1907,GB,51.51.126.123,declined,0,,0,1,0,0,
tx_21,card_542,530000,Mastercard,prepaid,MX,m_128,5732,MX,757.39,USD,True,2025-10-13 09:11:07.680621,device_1798,MX,101.198.181.88,approved,0,,0,3,1,0,
tx_22,card_1039,520000,Mastercard,debit,MX,m_29,6051,FR,927.33,USD,False,2025-10-25 01:15:08.680621,device_1938,MX,101.183.14.180,approved,0,,0,2,0,25,high_amount_cnp
tx_23,card_410,370000,Amex,credit,GB,m_230,6051,DE,431.43,USD,False,2025-12-02 01:37:56.680621,device_4618,GB,51.96.252.158,approved,0,,0,7,1,15,shared_device_many_cards
tx_24,card_254,370000,Amex,credit,GB,m_148,6051,CA,976.69,USD,False,2025-10-24 23:59:08.680621,device_4018,GB,51.10.244.0,approved,1,high_amount_cnp,1,6,0,40,"high_amount_cnp,shared_device_many_cards"
tx_25,card_154,400100,Visa,debit,DE,m_193,5968,BR,137.33,USD,False,2025-11-09 03:54:18.680621,device_1651,MX,101.165.30.11,approved,1,geo_mismatch_cnp_high_risk_mcc,0,5,0,35,"geo_mismatch_cnp,shared_device_many_cards"
tx_26,card_440,400000,Visa,credit,FR,m_102,5999,DE,189.94,USD,True,2025-10-21 16:59:00.680621,device_909,FR,51.186.37.191,approved,0,,0,4,0,0,
tx_27,card_826,370000,Amex,credit,MX,m_146,5999,CA,186.93,USD,False,2025-11-15 08:42:48.680621,device_4801,MX,101.154.165.69,approved,0,,0,5,0,15,shared_device_many_cards
tx_28,card_718,400100,Visa,debit,BR,m_22,7995,GB,346.63,USD,False,2025-10-23 05:55:10.680621,device_3579,BR,101.249.162.89,approved,0,,0,5,0,15,shared_device_many_cards
tx_29,card_170,400100,Visa,debit,AU,m_76,6011,MX,202.21,USD,False,2025-12-01 12:24:39.680621,device_2924,AU,101.89.193.157,approved,0,,0,5,0,15,shared_device_many_cards
tx_30,card_664,400100,Visa,debit,MX,m_228,7995,US,851.75,USD,False,2025-11-05 13:11:01.680621,device_1044,MX,101.200.16.93,approved,1,high_amount_cnp,1,3,0,25,high_amount_cnp
tx_31,card_1093,370000,Amex,credit,MX,m_178,7995,GB,217.55,USD,False,2025-12-05 10:34:34.680621,device_2607,MX,101.113.53.254,approved,0,,0,2,0,0,
tx_32,card_78,400000,Visa,credit,FR,m_112,6011,BR,28.76,USD,True,2025-10-15 12:12:41.680621,device_1950,FR,51.163.85.45,approved,0,,0,2,0,0,
tx_33,card_917,520000,Mastercard,debit,FR,m_49,5732,CA,602.9,USD,False,2025-11-09 13:15:42.680621,device_3659,FR,51.107.127.34,approved,0,,0,2,0,25,high_amount_cnp
tx_34,card_876,400100,Visa,debit,FR,m_32,5732,MX,787.78,USD,True,2025-10-18 10:38:51.680621,device_11,FR,51.224.214.85,approved,0,,0,7,0,15,shared_device_many_cards
tx_35,card_1016,510000,Mastercard,credit,BR,m_210,7995,AU,685.24,USD,False,2025-11-17 03:38:36.680621,device_4040,BR,101.179.192.51,approved,0,,0,3,0,25,high_amount_cnp
tx_36,card_939,400100,Visa,debit,FR,m_91,4816,DE,159.98,USD,False,2025-11-23 12:11:59.680621,device_4736,FR,51.115.83.231,approved,0,,0,1,0,0,
tx_37,card_156,530000,Mastercard,prepaid,US,m_6,5968,GB,148.22,USD,False,2025-10-15 02:39:51.680621,device_274,US,23.53.37.175,approved,0,,0,4,0,0,
tx_38,card_620,370000,Amex,credit,US,m_7,6011,BR,60.56,USD,True,2025-11-13 09:47:21.680621,device_1319,US,23.47.173.247,approved,0,,0,3,0,0,
tx_39,card_138,400100,Visa,debit,AU,m_49,5732,CA,89.38,USD,False,2025-11-18 19:57:54.680621,device_1352,AU,101.222.80.27,approved,0,,0,5,0,15,shared_device_many_cards
tx_40,card_944,370000,Amex,credit,FR,m_228,7995,US,419.63,USD,False,2025-10-17 18:51:24.680621,device_2713,FR,51.97.209.135,approved,0,,0,4,1,0,
tx_41,card_166,510000,Mastercard,credit,BR,m_121,4816,BR,296.96,USD,False,2025-11-04 06:54:18.680621,device_2437,BR,101.25.201.251,approved,0,,0,4,0,0,
tx_42,card_972,510000,Mastercard,credit,FR,m_17,5732,US,554.78,USD,True,2025-11-11 23:42:04.680621,device_32,FR,51.150.245.102,approved,0,,0,2,0,0,
tx_43,card_1019,510000,Mastercard,credit,BR,m_136,5968,CA,290.64,USD,False,2025-10-17 08:54:17.680621,device_211,BR,101.149.41.242,approved,0,,0,2,0,0,
tx_44,card_188,400000,Visa,credit,CA,m_51,5999,AU,42.67,USD,False,2025-11-06 21:25:27.680621,device_3257,CA,23.135.46.198,approved,0,,0,4,0,0,
tx_45,card_497,510000,Mastercard,credit,CA,m_248,5968,CA,189.29,USD,False,2025-10-25 21:42:48.680621,device_3040,CA,23.189.95.228,approved,0,,0,3,0,0,
tx_46,card_194,400000,Visa,credit,FR,m_169,6011,DE,245.43,USD,True,2025-11-19 15:34:42.680621,device_3810,FR,51.137.31.77,approved,0,,0,2,0,0,
tx_47,card_1068,520000,Mastercard,debit,FR,m_146,5999,CA,113.88,USD,False,2025-10-17 08:14:32.680621,device_703,FR,51.211.116.31,approved,0,,0,7,0,15,shared_device_many_cards
tx_48,card_1011,400000,Visa,credit,FR,m_138,5411,BR,99.04,USD,False,2025-11-27 16:36:49.680621,device_3430,FR,51.243.120.243,declined,0,,0,4,0,0,
tx_49,card_1051,510000,Mastercard,credit,BR,m_165,5968,CA,67.52,USD,False,2025-11-05 23:17:05.680621,device_647,BR,101.17.75.61,approved,0,,0,3,0,0,
tx_50,card_1129,510000,Mastercard,credit,US,m_141,5732,US,599.06,USD,False,2025-11-20 13:14:50.680621,device_1417,US,23.85.108.98,approved,0,,0,6,0,40,"high_amount_cnp,shared_device_many_cards"
tx_51,card_221,370000,Amex,credit,US,m_28,5968,AU,216.85,USD,False,2025-10-20 04:56:36.680621,device_350,US,23.222.103.75,approved,0,,0,3,0,0,
tx_52,card_86,400000,Visa,credit,FR,m_198,5968,GB,250.64,USD,False,2025-12-04 17:28:13.680621,device_2113,FR,51.34.44.198,approved,0,,0,4,1,0,
tx_53,card_749,370000,Amex,credit,US,m_31,5999,MX,225.44,USD,False,2025-11-30 13:17:18.680621,device_2672,US,23.234.6.214,approved,0,,0,4,0,0,
tx_54,card_789,370000,Amex,credit,US,m_112,6011,BR,211.94,USD,True,2025-10-22 11:36:02.680621,device_1215,US,23.51.54.51,approved,0,,0,1,0,0,
tx_55,card_1174,510000,Mastercard,credit,MX,m_46,6011,BR,31.7,USD,False,2025-11-28 23:01:31.680621,device_2817,MX,101.135.196.248,approved,0,,0,2,0,0,
tx_56,card_594,520000,Mastercard,debit,BR,m_226,5732,US,494.18,USD,False,2025-11-22 21:11:14.680621,device_307,BR,101.206.73.205,approved,0,,0,6,0,15,shared_device_many_cards
tx_57,card_769,510000,Mastercard,credit,AU,m_117,6051,AU,102.18,USD,False,2025-10-11 17:16:43.680621,device_3243,AU,101.169.121.25,approved,0,,0,3,0,0,
tx_58,card_353,530000,Mastercard,prepaid,CA,m_24,6051,CA,461.78,USD,False,2025-11-23 02:14:51.680621,device_2201,CA,23.155.159.143,approved,0,,0,3,0,0,
tx_59,card_103,510000,Mastercard,credit,MX,m_64,7995,BR,748.89,USD,False,2025-11-24 16:27:52.680621,device_805,MX,101.153.226.164,approved,0,,0,4,0,25,high_amount_cnp
tx_60,card_800,520000,Mastercard,debit,CA,m_194,4816,US,113.89,USD,False,2025-11-03 02:42:10.680621,device_3415,CA,23.45.96.226,approved,0,,0,4,0,0,
tx_61,card_14,400100,Visa,debit,FR,m_78,6011,MX,23.18,USD,True,2025-11-16 11:41:04.680621,device_3969,FR,51.191.28.81,approved,0,,0,5,0,15,shared_device_many_cards
tx_62,card_874,400000,Visa,credit,CA,m_91,4816,DE,148.52,USD,False,2025-10-14 07:48:27.680621,device_2549,CA,23.206.69.14,approved,0,,0,4,0,0,
tx_63,card_365,400000,Visa,credit,FR,m_111,4814,DE,265.47,USD,True,2025-10-27 10:38:10.680621,device_473,FR,51.233.25.184,approved,0,,0,4,0,0,
tx_64,card_250,510000,Mastercard,credit,BR,m_148,6051,CA,210.21,USD,False,2025-10-27 06:52:05.680621,device_2245,BR,101.237.203.63,approved,0,,0,2,0,0,
tx_65,card_727,520000,Mastercard,debit,US,m_55,6011,BR,247.08,USD,False,2025-10-31 10:39:55.680621,device_3052,US,23.228.90.242,approved,0,,0,2,0,0,
tx_66,card_1101,400100,Visa,debit,FR,m_19,4816,FR,295.77,USD,False,2025-12-03 22:26:20.680621,device_4517,FR,51.83.132.46,approved,0,,0,7,1,15,shared_device_many_cards
tx_67,card_287,530000,Mastercard,prepaid,AU,m_6,5968,GB,283.4,USD,False,2025-11-04 15:10:07.680621,device_225,AU,101.109.113.115,approved,0,,0,2,0,0,
tx_68,card_306,400100,Visa,debit,AU,m_37,5732,GB,462.32,USD,False,2025-11-03 01:55:08.680621,device_3355,AU,101.4.242.67,approved,0,,0,3,0,0,
tx_69,card_896,400100,Visa,debit,AU,m_103,5968,DE,233.58,USD,False,2025-10-24 18:29:44.680621,device_4925,MX,101.156.140.216,approved,1,geo_mismatch_cnp_high_risk_mcc,1,5,0,35,"geo_mismatch_cnp,shared_device_many_cards"
tx_70,card_873,510000,Mastercard,credit,MX,m_225,5732,AU,716.81,USD,False,2025-11-10 19:27:36.680621,device_3761,MX,101.203.52.3,approved,0,,0,4,0,25,high_amount_cnp
tx_71,card_727,520000,Mastercard,debit,US,m_196,6011,CA,126.55,USD,False,2025-11-13 06:55:38.680621,device_4600,US,23.144.152.55,approved,0,,0,2,0,0,
tx_72,card_1163,520000,Mastercard,debit,BR,m_116,5999,MX,70.54,USD,False,2025-11-09 14:30:23.680621,device_2265,BR,101.141.133.152,approved,0,,0,4,0,0,
tx_73,card_180,520000,Mastercard,debit,AU,m_250,7995,BR,538.73,USD,False,2025-10-26 05:49:10.680621,device_1229,AU,101.123.29.206,approved,0,,0,2,0,25,high_amount_cnp
tx_74,card_266,510000,Mastercard,credit,CA,m_155,5732,US,381.69,USD,False,2025-10-21 12:58:05.680621,device_209,CA,23.151.132.214,approved,0,,0,7,0,15,shared_device_many_cards
tx_75,card_171,520000,Mastercard,debit,FR,m_37,5732,GB,693.83,USD,False,2025-10-11 09:12:29.680621,device_4777,FR,51.97.175.113,approved,0,,0,3,0,25,high_amount_cnp
tx_76,card_363,370000,Amex,credit,DE,m_68,7995,GB,813.89,USD,False,2025-11-28 20:41:56.680621,device_3898,DE,51.153.87.92,approved,0,,0,6,0,40,"high_amount_cnp,shared_device_many_cards"
tx_77,card_250,510000,Mastercard,credit,BR,m_33,6051,AU,186.26,USD,False,2025-11-05 11:28:31.680621,device_800,BR,101.132.93.171,approved,0,,0,2,0,0,
tx_78,card_643,520000,Mastercard,debit,MX,m_236,6051,AU,176.68,USD,False,2025-10-16 14:59:33.680621,device_1821,MX,101.157.215.169,approved,0,,0,7,0,15,shared_device_many_cards
tx_79,card_104,400100,Visa,debit,CA,m_165,5968,CA,272.39,USD,False,2025-11-13 00:59:30.680621,device_2135,CA,23.237.60.240,approved,0,,0,1,1,0,
tx_80,card_757,370000,Amex,credit,MX,m_25,5968,BR,169.57,USD,False,2025-10-13 03:59:06.680621,device_4781,MX,101.36.241.99,approved,0,,0,4,0,0,
tx_81,card_828,400100,Visa,debit,AU,m_4,6051,GB,868.02,USD,False,2025-11-25 13:06:20.680621,device_982,AU,101.152.211.27,approved,0,,0,1,0,25,high_amount_cnp
tx_82,card_248,520000,Mastercard,debit,FR,m_109,5999,FR,220.23,USD,False,2025-10-22 14:14:53.680621,device_1126,FR,51.175.209.234,declined,0,,0,2,0,0,
tx_83,card_251,520000,Mastercard,debit,US,m_180,5411,CA,48.02,USD,True,2025-10-25 11:10:14.680621,device_663,US,23.90.160.29,approved,0,,0,6,0,15,shared_device_many_cards
tx_84,card_746,520000,Mastercard,debit,MX,m_230,6051,DE,238.68,USD,False,2025-10-08 09:53:31.680621,device_3704,GB,51.81.250.45,approved,1,geo_mismatch_cnp_high_risk_mcc,0,4,0,20,geo_mismatch_cnp
tx_85,card_549,520000,Mastercard,debit,MX,m_170,5411,FR,27.12,USD,True,2025-11-19 01:31:47.680621,device_3518,MX,101.244.196.2,approved,0,,0,3,0,0,
tx_86,card_1087,510000,Mastercard,credit,GB,m_47,5411,FR,143.15,USD,True,2025-10-27 07:34:39.680621,device_3057,GB,51.164.97.9,declined,0,,0,6,0,15,shared_device_many_cards
tx_87,card_820,400100,Visa,debit,FR,m_101,7995,GB,978.22,USD,False,2025-10-08 08:31:05.680621,device_2039,FR,51.159.66.52,approved,0,,0,3,1,25,high_amount_cnp
tx_88,card_611,400100,Visa,debit,GB,m_5,5968,FR,118.09,USD,False,2025-11-14 04:38:46.680621,device_4124,GB,51.85.33.23,approved,0,,0,2,0,0,
tx_89,card_401,510000,Mastercard,credit,GB,m_221,7995,BR,849.41,USD,False,2025-11-05 21:46:13.680621,device_2383,GB,51.172.222.68,approved,0,,0,4,0,25,high_amount_cnp
tx_90,card_980,510000,Mastercard,credit,BR,m_143,5732,GB,602.21,USD,True,2025-11-24 13:06:28.680621,device_2943,BR,101.84.206.9,approved,0,,0,2,0,0,
tx_91,card_875,520000,Mastercard,debit,MX,m_90,6011,CA,87.49,USD,True,2025-10-20 16:38:25.680621,device_1731,MX,101.86.63.187,approved,0,,0,4,0,0,
tx_92,card_1112,400000,Visa,credit,GB,m_72,5999,MX,168.91,USD,False,2025-10-11 13:58:19.680621,device_3074,GB,51.130.24.24,approved,0,,0,2,0,0,
tx_93,card_811,520000,Mastercard,debit,GB,m_23,5999,US,267.81,USD,False,2025-10-09 20:54:37.680621,device_396,GB,51.213.227.194,approved,0,,0,6,0,15,shared_device_many_cards
tx_94,card_1154,370000,Amex,credit,GB,m_14,5999,GB,141.64,USD,True,2025-11-01 11:49:54.680621,device_3887,GB,51.105.4.154,approved,0,,0,5,1,15,shared_device_many_cards
tx_95,card_245,530000,Mastercard,prepaid,US,m_226,5732,US,213.01,USD,False,2025-10-17 18:12:32.680621,device_4263,US,23.70.214.53,approved,0,,0,4,0,0,
tx_96,card_908,370000,Amex,credit,US,m_208,5968,CA,164.02,USD,False,2025-11-26 14:59:16.680621,device_965,US,23.54.254.101,approved,0,,0,3,0,0,
tx_97,card_473,530000,Mastercard,prepaid,US,m_220,4814,US,214.17,USD,False,2025-11-02 11:43:44.680621,device_4286,US,23.183.209.151,declined,0,,0,3,1,0,
tx_98,card_1048,510000,Mastercard,credit,US,m_116,5999,MX,293.45,USD,True,2025-11-30 04:09:53.680621,device_4067,US,23.246.169.120,approved,0,,0,2,0,0,
tx_99,card_112,520000,Mastercard,debit,US,m_38,4816,GB,150.95,USD,False,2025-10-08 05:17:20.680621,device_105,US,23.56.252.76,approved,0,,0,3,0,0,
tx_100,card_117,510000,Mastercard,credit,FR,m_53,5732,DE,607.25,USD,False,2025-11-26 15:16:07.680621,device_615,FR,51.51.131.118,approved,0,,0,5,0,40,"high_amount_cnp,shared_device_many_cards"
tx_101,card_640,400100,Visa,debit,GB,m_147,6011,GB,84.75,USD,False,2025-11-05 16:41:26.680621,device_2164,GB,51.51.89.20,approved,0,,0,7,0,15,shared_device_many_cards
tx_102,card_1078,510000,Mastercard,credit,MX,m_241,4816,AU,16.24,USD,False,2025-11-05 03:58:46.680621,device_2951,BR,101.59.48.23,approved,0,,0,5,0,35,"geo_mismatch_cnp,shared_device_many_cards"
tx_103,card_1014,530000,Mastercard,prepaid,CA,m_163,6011,AU,231.74,USD,True,2025-10-21 09:23:28.680621,device_1397,CA,23.224.137.47,approved,0,,0,5,0,15,shared_device_many_cards
tx_104,card_1140,400000,Visa,credit,CA,m_188,5968,CA,256.82,USD,False,2025-11-13 03:10:53.680621,device_2808,CA,23.205.204.233,approved,0,,0,5,0,15,shared_device_many_cards
tx_105,card_323,510000,Mastercard,credit,FR,m_237,6051,FR,681.42,USD,False,2025-11-03 08:19:33.680621,device_3160,FR,51.244.215.85,approved,0,,0,7,0,40,"high_amount_cnp,shared_device_many_cards"
tx_106,card_995,520000,Mastercard,debit,AU,m_133,4814,DE,124.52,USD,True,2025-10-13 15:33:53.680621,device_1306,AU,101.247.224.92,approved,0,,0,3,0,0,
tx_107,card_658,520000,Mastercard,debit,FR,m_45,4816,MX,275.57,USD,False,2025-12-06 07:23:42.680621,device_3111,FR,51.14.66.247,approved,0,,0,1,0,0,
tx_108,card_104,400100,Visa,debit,CA,m_220,4814,US,51.61,USD,False,2025-10-18 22:04:20.680621,device_3370,CA,23.32.133.160,approved,0,,0,3,1,0,
tx_109,card_840,400000,Visa,credit,DE,m_18,5732,DE,504.79,USD,True,2025-11-27 21:49:23.680621,device_4724,DE,51.114.173.48,approved,0,,0,6,0,15,shared_device_many_cards
tx_110,card_1008,520000,Mastercard,debit,US,m_121,4816,BR,136.99,USD,False,2025-11-18 23:31:03.680621,device_2037,US,23.197.76.27,approved,0,,0,9,0,15,shared_device_many_cards
tx_111,card_310,400100,Visa,debit,BR,m_23,5999,US,17.92,USD,True,2025-10-23 04:34:34.680621,device_4142,BR,101.253.84.38,approved,0,,0,7,0,15,shared_device_many_cards
tx_112,card_278,510000,Mastercard,credit,GB,m_217,4816,US,259.12,USD,False,2025-11-24 16:31:54.680621,device_2627,GB,51.142.25.114,approved,0,,0,2,0,0,
tx_113,card_25,400100,Visa,debit,CA,m_178,7995,GB,337.05,USD,False,2025-11-30 09:39:23.680621,device_3102,CA,23.120.40.235,approved,0,,0,4,0,0,
tx_114,card_1194,370000,Amex,credit,MX,m_84,4814,MX,191.72,USD,False,2025-12-02 14:10:37.680621,device_3671,MX,101.255.228.161,approved,0,,0,4,0,0,
tx_115,card_679,510000,Mastercard,credit,BR,m_123,5968,AU,153.8,USD,False,2025-10-19 11:30:57.680621,device_4075,BR,101.9.52.206,approved,0,,0,2,0,0,
tx_116,card_884,400000,Visa,credit,BR,m_160,5732,CA,474.63,USD,False,2025-12-01 01:07:05.680621,device_4499,BR,101.46.155.105,approved,0,,0,4,1,0,
tx_117,card_557,370000,Amex,credit,FR,m_49,5732,CA,267.31,USD,False,2025-11-21 05:57:01.680621,device_2793,FR,51.27.114.232,approved,0,,0,4,0,0,
tx_118,card_289,530000,Mastercard,prepaid,US,m_235,5968,FR,71.47,USD,False,2025-11-09 04:27:40.680621,device_4589,US,23.186.231.58,approved,0,,0,4,0,0,
tx_119,card_20,520000,Mastercard,debit,CA,m_103,5968,DE,181.41,USD,False,2025-10-17 09:57:12.680621,device_1817,CA,23.181.149.191,approved,0,,0,2,0,0,
tx_120,card_1187,510000,Mastercard,credit,BR,m_236,6051,AU,301.89,USD,False,2025-10-18 06:39:27.680621,device_376,BR,101.252.71.209,approved,0,,0,3,0,0,
tx_121,card_850,370000,Amex,credit,DE,m_89,6051,FR,194.64,USD,False,2025-10-18 08:08:50.680621,device_2084,DE,51.96.61.201,approved,0,,0,4,0,0,
tx_122,card_664,400100,Visa,debit,MX,m_178,7995,GB,346.52,USD,False,2025-10-28 21:16:07.680621,device_3745,MX,101.97.173.55,approved,0,,0,4,0,0,
tx_123,card_495,520000,Mastercard,debit,AU,m_21,6011,MX,268.29,USD,False,2025-10-12 11:15:45.680621,device_4824,AU,101.230.234.68,approved,0,,0,7,0,15,shared_device_many_cards
tx_124,card_309,400100,Visa,debit,CA,m_140,6011,CA,35.64,USD,False,2025-10-08 09:00:58.680621,device_4345,CA,23.221.247.90,approved,0,,0,3,0,0,
tx_125,card_61,530000,Mastercard,prepaid,CA,m_50,7995,GB,878.37,USD,False,2025-12-03 03:02:17.680621,device_1423,CA,23.164.196.214,approved,1,high_amount_cnp,0,4,0,25,high_amount_cnp
tx_126,card_779,400000,Visa,credit,BR,m_117,6051,AU,61.25,USD,False,2025-12-06 01:58:01.680621,device_2034,BR,101.175.150.231,approved,0,,0,5,0,15,shared_device_many_cards
tx_127,card_792,400000,Visa,credit,GB,m_66,6011,BR,256.26,USD,False,2025-10-21 08:53:29.680621,device_3382,GB,51.153.160.111,approved,0,,0,3,1,0,
tx_128,card_883,520000,Mastercard,debit,AU,m_62,5732,GB,302.18,USD,True,2025-11-05 04:00:29.680621,device_2829,AU,101.67.91.165,approved,0,,0,7,0,15,shared_device_many_cards
tx_129,card_296,530000,Mastercard,prepaid,MX,m_76,6011,MX,257.12,USD,False,2025-11-11 03:40:56.680621,device_4607,MX,101.213.146.216,approved,0,,0,4,0,0,
tx_130,card_787,400000,Visa,credit,AU,m_216,5411,US,141.45,USD,False,2025-11-27 16:57:28.680621,device_873,AU,101.74.27.28,approved,0,,0,4,0,0,
tx_131,card_866,510000,Mastercard,credit,MX,m_113,6051,CA,319.69,USD,False,2025-10-27 08:42:55.680621,device_2188,MX,101.82.146.128,approved,0,,0,6,0,15,shared_device_many_cards
tx_132,card_743,400100,Visa,debit,CA,m_140,6011,CA,291.37,USD,True,2025-10-13 23:27:21.680621,device_2418,CA,23.16.183.231,approved,0,,0,3,0,0,
tx_133,card_46,370000,Amex,credit,DE,m_132,6011,FR,137.17,USD,True,2025-12-01 12:11:44.680621,device_1838,DE,51.199.121.147,approved,0,,0,5,1,15,shared_device_many_cards
tx_134,card_376,520000,Mastercard,debit,CA,m_100,5999,DE,110.92,USD,False,2025-10-12 12:22:47.680621,device_3126,CA,23.160.27.6,approved,0,,0,5,0,15,shared_device_many_cards
tx_135,card_267,520000,Mastercard,debit,US,m_168,4816,FR,19.11,USD,False,2025-11-01 08:34:34.680621,device_1664,US,23.226.115.188,approved,0,,0,4,0,0,
tx_136,card_970,370000,Amex,credit,GB,m_39,7995,GB,711.07,USD,False,2025-12-04 01:56:45.680621,device_4478,GB,51.99.150.229,approved,0,,0,8,1,40,"high_amount_cnp,shared_device_many_cards"
tx_137,card_769,510000,Mastercard,credit,AU,m_94,5732,MX,200.41,USD,True,2025-10-15 04:26:03.680621,device_1532,AU,101.61.193.20,declined,0,,0,4,0,0,
tx_138,card_1179,400000,Visa,credit,AU,m_227,4814,FR,167.9,USD,False,2025-11-30 23:52:39.680621,device_2165,AU,101.130.2.169,approved,0,,0,3,0,0,
tx_139,card_1162,400100,Visa,debit,BR,m_128,5732,MX,562.23,USD,False,2025-10-22 23:37:56.680621,device_328,BR,101.165.26.154,approved,0,,0,6,0,40,"high_amount_cnp,shared_device_many_cards"
tx_140,card_1063,400000,Visa,credit,FR,m_144,4816,MX,144.25,USD,False,2025-11-24 13:58:31.680621,device_4692,FR,51.37.162.112,approved,0,,0,7,0,15,shared_device_many_cards
tx_141,card_753,530000,Mastercard,prepaid,AU,m_62,5732,GB,507.77,USD,False,2025-11-27 12:00:34.680621,device_559,AU,101.81.212.206,approved,0,,0,3,0,25,high_amount_cnp
tx_142,card_837,400100,Visa,debit,AU,m_228,7995,US,351.05,USD,False,2025-10-16 21:09:27.680621,device_2863,CA,23.169.184.150,approved,0,,0,3,0,20,geo_mismatch_cnp
tx_143,card_399,530000,Mastercard,prepaid,MX,m_198,5968,GB,56.63,USD,False,2025-10-29 03:55:23.680621,device_4346,MX,101.4.58.177,approved,0,,0,6,0,15,shared_device_many_cards
tx_144,card_776,370000,Amex,credit,MX,m_72,5999,MX,59.45,USD,False,2025-12-06 12:56:09.680621,device_1998,MX,101.164.195.58,declined,0,,0,4,0,0,
tx_145,card_57,400000,Visa,credit,DE,m_134,4814,DE,52.56,USD,True,2025-11-29 09:45:11.680621,device_2317,DE,51.191.228.249,approved,0,,0,2,0,0,
